CHROM	BIN_START	N_SNPS	TajimaD
chrI	0	37	-1.56449
chrI	75000	46	-1.57009
chrI	150000	32	-0.684739
chrI	225000	26	0.639013
chrI	300000	66	-1.42688
chrI	375000	32	-1.57417
chrI	450000	13	-1.4515
chrI	525000	0	nan
chrI	600000	40	-2.45853
chrI	675000	13	-0.426522
chrI	750000	19	-0.147606
chrI	825000	57	-0.531976
chrI	900000	34	-1.19059
chrI	975000	19	-1.4861
chrI	1050000	28	-1.66343
chrI	1125000	45	-0.143932
chrI	1200000	18	-1.59093
chrI	1275000	39	-0.984077
chrI	1350000	31	-1.19185
chrI	1425000	50	-0.233864
chrI	1500000	26	0.472258
chrI	1575000	14	-1.53749
chrI	1650000	37	-1.6293
chrI	1725000	26	-1.00166
chrI	1800000	58	-0.385986
chrI	1875000	27	-1.37905
chrI	1950000	30	-0.45051
chrI	2025000	12	-1.61043
chrI	2100000	34	-1.50033
chrI	2175000	26	-1.50809
chrI	2250000	28	-1.43209
chrI	2325000	40	-1.61569
chrI	2400000	31	-1.17325
chrI	2475000	49	-0.872116
chrI	2550000	31	-0.560038
chrI	2625000	33	-0.521778
chrI	2700000	44	-0.173886
chrI	2775000	30	0.066506
chrI	2850000	47	-0.6602
chrI	2925000	42	-1.28538
chrI	3000000	36	-0.204929
chrI	3075000	55	-1.17494
chrI	3150000	64	-0.333891
chrI	3225000	17	-0.76236
chrI	3300000	24	-1.32771
chrI	3375000	34	-1.08127
chrI	3450000	15	-0.967362
chrI	3525000	20	-1.23605
chrI	3600000	20	0.757383
chrI	3675000	55	-0.967361
chrI	3750000	14	-0.164379
chrI	3825000	18	0.205945
chrI	3900000	34	-0.762037
chrI	3975000	27	-1.42458
chrI	4050000	24	-0.832308
chrI	4125000	24	-1.62058
chrI	4200000	35	-1.21974
chrI	4275000	36	0.163761
chrI	4350000	61	-0.601313
chrI	4425000	68	-0.919605
chrI	4500000	39	-1.76016
chrI	4575000	53	-1.37836
chrI	4650000	22	-1.13566
chrI	4725000	53	-0.27783
chrI	4800000	11	-1.4572
chrI	4875000	17	1.10525
chrI	4950000	21	0.710674
chrI	5025000	21	-0.172883
chrI	5100000	16	-1.96992
chrI	5175000	31	-1.5527
chrI	5250000	39	-2.08123
chrI	5325000	9	-1.56106
chrI	5400000	27	-2.14505
chrI	5475000	44	-1.62293
chrI	5550000	16	-0.402243
chrI	5625000	5	-0.759476
chrI	5700000	17	-0.334992
chrI	5775000	18	-1.16117
chrI	5850000	30	-1.06497
chrI	5925000	36	-0.850477
chrI	6000000	39	-0.834723
chrI	6075000	21	-1.11743
chrI	6150000	71	-1.50127
chrI	6225000	27	-1.297
chrI	6300000	35	-2.23549
chrI	6375000	43	-1.21888
chrI	6450000	36	-1.38633
chrI	6525000	47	-1.37594
chrI	6600000	30	-2.10237
chrI	6675000	33	-1.1434
chrI	6750000	24	-0.931169
chrI	6825000	29	-2.01895
chrI	6900000	47	-1.04425
chrI	6975000	22	-1.18611
chrI	7050000	15	-1.75282
chrI	7125000	22	-1.46101
chrI	7200000	15	-1.23889
chrI	7275000	51	-1.51523
chrI	7350000	26	-1.02098
chrI	7425000	41	-0.6166
chrI	7500000	34	-1.86707
chrI	7575000	23	-1.59902
chrI	7650000	29	-0.85111
chrI	7725000	26	-1.72252
chrI	7800000	22	-1.56515
chrI	7875000	14	0.197913
chrI	7950000	80	0.266621
chrI	8025000	45	-2.02525
chrI	8100000	7	-1.81443
chrI	8175000	13	-1.9328
chrI	8250000	35	-1.0448
chrI	8325000	10	-0.83889
chrI	8400000	39	-1.1534
