CHROM	BIN_START	BIN_END	N_VARIANTS	PI
chrI	1	75000	37	3.32264e-05
chrI	75001	150000	46	4.59039e-05
chrI	150001	225000	32	4.76581e-05
chrI	225001	300000	26	6.39228e-05
chrI	300001	375000	66	7.43832e-05
chrI	375001	450000	32	3.15913e-05
chrI	450001	525000	13	1.14438e-05
chrI	600001	675000	40	1.38606e-05
chrI	675001	750000	13	2.20448e-05
chrI	750001	825000	19	3.4244e-05
chrI	825001	900000	57	9.51708e-05
chrI	900001	975000	34	4.28153e-05
chrI	975001	1050000	19	1.25963e-05
chrI	1050001	1125000	28	2.41888e-05
chrI	1125001	1200000	45	8.76621e-05
chrI	1200001	1275000	18	1.60606e-05
chrI	1275001	1350000	39	4.88179e-05
chrI	1350001	1425000	31	2.88536e-05
chrI	1425001	1500000	50	8.60433e-05
chrI	1500001	1575000	26	5.88463e-05
chrI	1575001	1650000	14	1.07172e-05
chrI	1650001	1725000	37	3.09666e-05
chrI	1725001	1800000	26	3.49971e-05
chrI	1800001	1875000	58	9.29473e-05
chrI	1875001	1950000	27	2.30411e-05
chrI	1950001	2025000	30	5.24053e-05
chrI	2025001	2100000	12	7.92171e-06
chrI	2100001	2175000	34	3.52513e-05
chrI	2175001	2250000	26	2.51543e-05
chrI	2250001	2325000	28	2.30066e-05
chrI	2325001	2400000	40	3.804e-05
chrI	2400001	2475000	31	3.65841e-05
chrI	2475001	2550000	49	5.86945e-05
chrI	2550001	2625000	31	5.52494e-05
chrI	2625001	2700000	33	5.23721e-05
chrI	2700001	2775000	44	7.79517e-05
chrI	2775001	2850000	30	5.54249e-05
chrI	2850001	2925000	47	7.68819e-05
chrI	2925001	3000000	42	4.07019e-05
chrI	3000001	3075000	36	5.42782e-05
chrI	3075001	3150000	55	7.09733e-05
chrI	3150001	3225000	64	0.000120188
chrI	3225001	3300000	17	2.59397e-05
chrI	3300001	3375000	24	2.31388e-05
chrI	3375001	3450000	34	4.04469e-05
chrI	3450001	3525000	15	1.95017e-05
chrI	3525001	3600000	20	2.39144e-05
chrI	3600001	3675000	20	4.83598e-05
chrI	3675001	3750000	55	7.32487e-05
chrI	3750001	3825000	14	2.82437e-05
chrI	3825001	3900000	18	4.27418e-05
chrI	3900001	3975000	34	5.18399e-05
chrI	3975001	4050000	27	2.35591e-05
chrI	4050001	4125000	24	2.9268e-05
chrI	4125001	4200000	24	2.01069e-05
chrI	4200001	4275000	35	4.17228e-05
chrI	4275001	4350000	36	7.18437e-05
chrI	4350001	4425000	61	0.000108857
chrI	4425001	4500000	68	8.55276e-05
chrI	4500001	4575000	39	2.93926e-05
chrI	4575001	4650000	53	6.07937e-05
chrI	4650001	4725000	22	2.79193e-05
chrI	4725001	4800000	53	9.57478e-05
chrI	4800001	4875000	11	9.40789e-06
chrI	4875001	4950000	17	4.07918e-05
chrI	4950001	5025000	21	5.52164e-05
chrI	5025001	5100000	21	3.18407e-05
chrI	5100001	5175000	16	8.04069e-06
chrI	5175001	5250000	31	2.79879e-05
chrI	5250001	5325000	39	2.4324e-05
chrI	5325001	5400000	9	4.88133e-06
chrI	5400001	5475000	27	1.40199e-05
chrI	5475001	5550000	44	4.04816e-05
chrI	5550001	5625000	16	3.07125e-05
chrI	5625001	5700000	5	6.87416e-06
chrI	5700001	5775000	17	3.00021e-05
chrI	5775001	5850000	18	2.06441e-05
chrI	5850001	5925000	30	3.638e-05
chrI	5925001	6000000	36	4.71259e-05
