CHROM	BIN_START	N_SNPS	TajimaD
chrI	0	33	-1.59638
chrI	75000	37	-1.24638
chrI	150000	40	-1.58711
chrI	225000	23	0.807616
chrI	300000	72	-1.72651
chrI	375000	36	-1.77624
chrI	450000	13	-1.54616
chrI	525000	0	nan
chrI	600000	28	-2.15946
chrI	675000	22	-1.45757
chrI	750000	18	0.0493569
chrI	825000	60	-0.835592
chrI	900000	32	-1.24416
chrI	975000	16	-1.35222
chrI	1050000	22	-1.5087
chrI	1125000	40	-0.89486
chrI	1200000	11	-0.905684
chrI	1275000	45	-1.37249
chrI	1350000	39	-1.57374
chrI	1425000	53	-0.459035
chrI	1500000	31	-0.334474
chrI	1575000	16	-1.80934
chrI	1650000	31	-1.41743
chrI	1725000	25	-0.766017
chrI	1800000	58	-0.739945
chrI	1875000	18	-0.816414
chrI	1950000	31	-0.512894
chrI	2025000	24	-2.18179
chrI	2100000	37	-1.72976
chrI	2175000	27	-1.56257
chrI	2250000	24	-1.14061
chrI	2325000	36	-1.2698
chrI	2400000	26	-0.745305
chrI	2475000	48	-0.545471
chrI	2550000	27	-0.419083
chrI	2625000	35	-0.975643
chrI	2700000	48	-0.546859
chrI	2775000	32	-0.358903
chrI	2850000	44	-0.739562
chrI	2925000	43	-1.40062
chrI	3000000	41	-1.00407
chrI	3075000	51	-1.11448
chrI	3150000	47	0.276359
chrI	3225000	15	-0.960787
chrI	3300000	27	-1.86003
chrI	3375000	24	-0.758023
chrI	3450000	22	-1.96728
chrI	3525000	16	-1.27539
chrI	3600000	18	1.05793
chrI	3675000	50	-0.809712
chrI	3750000	18	-0.755877
chrI	3825000	17	0.212237
chrI	3900000	36	-1.03168
chrI	3975000	28	-1.87558
chrI	4050000	21	-0.790244
chrI	4125000	33	-1.89746
chrI	4200000	31	-0.943138
chrI	4275000	38	0.321382
chrI	4350000	63	-0.639613
chrI	4425000	60	-0.851552
chrI	4500000	32	-1.4675
chrI	4575000	47	-1.14905
chrI	4650000	23	-1.19236
chrI	4725000	57	-0.421533
chrI	4800000	13	-1.76189
chrI	4875000	19	0.567335
chrI	4950000	21	0.403139
chrI	5025000	24	-0.573432
chrI	5100000	6	-1.29991
chrI	5175000	30	-1.71854
chrI	5250000	22	-1.52268
chrI	5325000	8	-1.46557
