CHROM	BIN_START	BIN_END	N_VARIANTS	PI
chrI	1	75000	54	3.39882e-05
chrI	75001	150000	52	3.96203e-05
chrI	150001	225000	62	3.69853e-05
chrI	225001	300000	27	6.16829e-05
chrI	300001	375000	94	6.05055e-05
chrI	375001	450000	54	3.08753e-05
chrI	450001	525000	17	8.16207e-06
chrI	600001	675000	37	1.22983e-05
chrI	675001	750000	26	1.77893e-05
chrI	750001	825000	23	3.53257e-05
chrI	825001	900000	68	7.44566e-05
chrI	900001	975000	43	3.84176e-05
chrI	975001	1050000	20	1.15316e-05
chrI	1050001	1125000	32	1.86418e-05
chrI	1125001	1200000	51	5.03728e-05
chrI	1200001	1275000	15	1.59476e-05
chrI	1275001	1350000	62	4.85295e-05
chrI	1350001	1425000	46	2.53665e-05
chrI	1425001	1500000	60	7.09624e-05
chrI	1500001	1575000	36	4.92957e-05
chrI	1575001	1650000	26	9.68908e-06
chrI	1650001	1725000	42	2.73399e-05
chrI	1725001	1800000	32	3.03764e-05
chrI	1800001	1875000	67	7.27849e-05
chrI	1875001	1950000	25	1.71864e-05
chrI	1950001	2025000	39	4.96725e-05
chrI	2025001	2100000	25	9.16765e-06
chrI	2100001	2175000	44	2.92113e-05
chrI	2175001	2250000	33	2.56219e-05
chrI	2250001	2325000	30	2.05282e-05
chrI	2325001	2400000	48	3.64138e-05
chrI	2400001	2475000	32	3.3917e-05
chrI	2475001	2550000	62	6.10612e-05
chrI	2550001	2625000	32	5.06084e-05
chrI	2625001	2700000	46	4.55636e-05
chrI	2700001	2775000	57	6.12708e-05
chrI	2775001	2850000	33	3.92898e-05
chrI	2850001	2925000	52	5.77856e-05
chrI	2925001	3000000	53	3.76149e-05
chrI	3000001	3075000	47	4.08747e-05
chrI	3075001	3150000	64	6.48271e-05
chrI	3150001	3225000	57	0.000103035
chrI	3225001	3300000	18	1.96317e-05
chrI	3300001	3375000	33	1.63011e-05
chrI	3375001	3450000	29	2.67147e-05
chrI	3450001	3525000	32	1.33985e-05
chrI	3525001	3600000	24	1.79237e-05
chrI	3600001	3675000	21	4.37177e-05
chrI	3675001	3750000	64	6.44694e-05
chrI	3750001	3825000	23	2.96361e-05
chrI	3825001	3900000	23	3.11917e-05
chrI	3900001	3975000	42	3.63314e-05
chrI	3975001	4050000	33	1.76805e-05
chrI	4050001	4125000	23	2.88019e-05
chrI	4125001	4200000	39	1.65208e-05
chrI	4200001	4275000	42	4.02663e-05
chrI	4275001	4350000	44	7.97447e-05
chrI	4350001	4425000	82	0.000104342
chrI	4425001	4500000	72	6.84426e-05
chrI	4500001	4575000	43	2.32315e-05
chrI	4575001	4650000	57	6.09719e-05
chrI	4650001	4725000	27	2.27027e-05
chrI	4725001	4800000	68	8.93941e-05
chrI	4800001	4875000	16	7.8378e-06
chrI	4875001	4950000	24	3.44962e-05
chrI	4950001	5025000	31	4.2287e-05
chrI	5025001	5100000	31	3.54831e-05
chrI	5100001	5175000	8	4.80811e-06
chrI	5175001	5250000	37	2.19039e-05
chrI	5250001	5325000	38	2.22426e-05
chrI	5325001	5400000	12	5.53901e-06
chrI	5400001	5475000	32	1.36449e-05
chrI	5475001	5550000	50	4.7052e-05
chrI	5550001	5625000	36	2.23237e-05
chrI	5625001	5700000	8	6.22979e-06
chrI	5700001	5775000	22	2.37825e-05
chrI	5775001	5850000	15	1.86649e-05
chrI	5850001	5925000	40	3.17648e-05
chrI	5925001	6000000	46	3.5792e-05
chrI	6000001	6075000	57	6.16104e-05
chrI	6075001	6150000	23	2.06844e-05
chrI	6150001	6225000	82	6.44711e-05
chrI	6225001	6300000	34	2.74994e-05
chrI	6300001	6375000	48	1.5652e-05
chrI	6375001	6450000	61	4.51613e-05
chrI	6450001	6525000	50	4.45212e-05
chrI	6525001	6600000	63	5.07509e-05
chrI	6600001	6675000	32	2.01714e-05
chrI	6675001	6750000	38	3.27436e-05
chrI	6750001	6825000	22	2.33208e-05
chrI	6825001	6900000	30	2.08981e-05
chrI	6900001	6975000	51	4.3808e-05
chrI	6975001	7050000	27	2.288e-05
chrI	7050001	7125000	21	1.0742e-05
chrI	7125001	7200000	29	1.81203e-05
chrI	7200001	7275000	13	8.97267e-06
chrI	7275001	7350000	58	4.98951e-05
chrI	7350001	7425000	45	3.42034e-05
chrI	7425001	7500000	37	4.5084e-05
chrI	7500001	7575000	32	1.59096e-05
chrI	7575001	7650000	34	1.8673e-05
chrI	7650001	7725000	35	3.49679e-05
chrI	7725001	7800000	33	2.31516e-05
chrI	7800001	7875000	29	2.53673e-05
chrI	7875001	7950000	26	2.43613e-05
chrI	7950001	8025000	106	0.000161599
chrI	8025001	8100000	62	2.2105e-05
chrI	8100001	8175000	15	3.09385e-06
chrI	8175001	8250000	36	8.75179e-06
chrI	8250001	8325000	58	4.18335e-05
chrI	8325001	8400000	20	1.38654e-05
chrI	8400001	8475000	42	4.5745e-05
chrI	8475001	8550000	35	1.59316e-05
chrI	8550001	8625000	37	1.9255e-05
chrI	8625001	8700000	32	2.09701e-05
chrI	8700001	8775000	26	2.10902e-05
chrI	8775001	8850000	54	2.76157e-05
chrI	8850001	8925000	36	1.94988e-05
chrI	8925001	9000000	56	1.45048e-05
chrI	9000001	9075000	17	2.86743e-06
chrI	9075001	9150000	38	1.47353e-05
chrI	9150001	9225000	5	4.94044e-07
chrI	9225001	9300000	7	3.1709e-06
chrI	9300001	9375000	27	2.30849e-05
chrI	9375001	9450000	42	3.81547e-05
chrI	9450001	9525000	11	2.46886e-06
chrI	9525001	9600000	31	1.59987e-05
chrI	9600001	9675000	25	1.939e-05
chrI	9675001	9750000	29	2.296e-05
chrI	9750001	9825000	23	8.13472e-06
chrI	9825001	9900000	16	6.59528e-06
chrI	9900001	9975000	21	9.02744e-06
chrI	9975001	10050000	60	5.12657e-05
chrI	10050001	10125000	17	2.24251e-05
chrI	10125001	10200000	20	7.42933e-06
chrI	10200001	10275000	20	1.18408e-05
chrI	10275001	10350000	43	9.12908e-06
chrI	10350001	10425000	26	4.31938e-06
chrI	10425001	10500000	12	6.57673e-06
chrI	10500001	10575000	27	1.75956e-05
chrI	10575001	10650000	34	1.0873e-05
chrI	10650001	10725000	53	3.69285e-05
chrI	10725001	10800000	20	1.33347e-05
chrI	10800001	10875000	28	9.44677e-06
chrI	10875001	10950000	11	8.24827e-06
chrI	10950001	11025000	30	1.65494e-05
chrI	11025001	11100000	17	6.7173e-06
chrI	11100001	11175000	13	3.61865e-06
chrI	11175001	11250000	30	9.59066e-06
chrI	11250001	11325000	18	7.73188e-06
chrI	11325001	11400000	10	4.55469e-06
chrI	11400001	11475000	29	1.57848e-05
chrI	11475001	11550000	45	2.30316e-05
chrI	11550001	11625000	43	1.98006e-05
chrI	11625001	11700000	52	2.97403e-05
chrI	11700001	11775000	42	1.85895e-05
chrI	11775001	11850000	13	1.59844e-06
chrI	11850001	11925000	43	3.91511e-05
chrI	11925001	12000000	45	1.65489e-05
