transcript,effect_sex,pvalue_sex,fdr_sex
ENSGACT00000007459,-0.079,0.200,0.545
ENSGACT00000007462,0.063,0.708,0.883
ENSGACT00000007463,0.050,0.354,0.641
ENSGACT00000007464,-0.005,0.732,0.883
ENSGACT00000007465,0.067,0.140,0.503
ENSGACT00000007466,0.075,0.604,0.816
ENSGACT00000007468,0.070,0.666,0.862
ENSGACT00000007474,-0.048,0.836,1.000
ENSGACT00000007477,-0.045,0.180,0.527
ENSGACT00000007479,-0.676,0.001,0.014
ENSGACT00000007480,-0.074,0.102,0.465
ENSGACT00000007482,0.103,0.518,0.816
ENSGACT00000007483,0.035,0.462,0.783
ENSGACT00000007485,-0.029,0.208,0.545
ENSGACT00000007494,0.056,0.600,0.816
ENSGACT00000007495,0.059,0.198,0.545
ENSGACT00000007498,-0.179,0.026,0.161
ENSGACT00000007500,-0.212,0.076,0.325
ENSGACT00000007513,-0.098,0.202,0.545
ENSGACT00000007519,-0.019,0.804,1.000
ENSGACT00000007521,-0.084,0.114,0.465
ENSGACT00000007525,0.085,0.128,0.465
ENSGACT00000007532,0.133,0.228,0.545
ENSGACT00000007533,-0.079,0.150,0.511
ENSGACT00000007536,0.086,0.268,0.545
ENSGACT00000007542,0.831,0.001,0.014
ENSGACT00000007545,-1.031,0.001,0.014
ENSGACT00000007548,0.046,0.852,1.000
ENSGACT00000007550,-0.014,0.952,1.000
ENSGACT00000007551,-0.110,0.118,0.465
ENSGACT00000007554,0.347,0.001,0.014
ENSGACT00000007563,0.214,0.008,0.073
ENSGACT00000007566,-0.024,0.700,0.862
ENSGACT00000007567,0.404,0.001,0.014
ENSGACT00000007571,0.521,0.001,0.014
ENSGACT00000007573,0.073,0.442,0.783
ENSGACT00000007574,-0.163,0.272,0.545
ENSGACT00000007575,0.391,0.001,0.014
ENSGACT00000007576,0.112,0.072,0.320
ENSGACT00000007579,-0.369,0.001,0.014
ENSGACT00000007580,-0.439,0.001,0.014
ENSGACT00000007582,0.065,0.616,0.816
ENSGACT00000007585,0.030,0.668,0.862
ENSGACT00000007587,0.256,0.001,0.014
ENSGACT00000007588,-0.169,0.001,0.014
ENSGACT00000007591,0.121,0.182,0.527
ENSGACT00000007593,0.551,0.001,0.014
ENSGACT00000007594,-0.029,0.638,0.816
ENSGACT00000007595,-0.109,0.136,0.503
ENSGACT00000007599,-0.989,0.001,0.014
ENSGACT00000007601,-0.022,0.946,1.000
ENSGACT00000007602,0.041,0.428,0.783
ENSGACT00000007603,0.240,0.096,0.343
ENSGACT00000007605,-0.031,0.282,0.554
ENSGACT00000007607,-0.212,0.001,0.014
ENSGACT00000007608,0.294,0.002,0.043
ENSGACT00000007613,-0.029,0.966,1.000
ENSGACT00000007617,0.081,0.112,0.465
ENSGACT00000007618,-0.070,0.282,0.554
ENSGACT00000007623,0.025,0.704,0.862
ENSGACT00000007625,0.279,0.088,0.343
ENSGACT00000007631,0.085,0.128,0.465
ENSGACT00000007632,0.118,0.068,0.271
ENSGACT00000007635,0.296,0.001,0.014
ENSGACT00000007636,0.214,0.092,0.343
ENSGACT00000007637,0.060,0.502,0.816
ENSGACT00000007644,-0.423,0.001,0.014
ENSGACT00000007646,0.244,0.008,0.073
ENSGACT00000007648,0.418,0.001,0.014
ENSGACT00000007650,0.355,0.002,0.043
ENSGACT00000007651,-0.124,0.018,0.152
ENSGACT00000007654,0.005,0.836,1.000
ENSGACT00000007655,-0.101,0.086,0.325
ENSGACT00000007661,-0.183,0.036,0.206
ENSGACT00000007663,0.055,0.200,0.545
ENSGACT00000007664,0.073,0.292,0.640
ENSGACT00000007667,0.452,0.001,0.014
ENSGACT00000007668,0.327,0.002,0.043
ENSGACT00000007669,0.156,0.002,0.043
ENSGACT00000007675,-0.006,0.622,0.816
ENSGACT00000007684,0.005,0.706,0.862
ENSGACT00000007687,-0.163,0.016,0.122
ENSGACT00000007691,-0.230,0.064,0.266
ENSGACT00000007694,0.386,0.026,0.161
ENSGACT00000007696,-0.090,0.106,0.465
ENSGACT00000007697,0.042,0.726,0.883
ENSGACT00000007707,-0.016,0.860,1.000
ENSGACT00000007710,0.328,0.001,0.014
ENSGACT00000007711,-0.309,0.001,0.014
ENSGACT00000007723,0.007,0.928,1.000
ENSGACT00000007724,0.107,0.248,0.545
ENSGACT00000007725,-0.223,0.001,0.014
ENSGACT00000007727,-0.864,0.001,0.014
ENSGACT00000007728,0.007,0.920,1.000
ENSGACT00000007730,-0.473,0.001,0.014
ENSGACT00000007731,0.163,0.082,0.325
ENSGACT00000007736,-0.099,0.120,0.465
ENSGACT00000007737,-0.062,0.388,0.708
ENSGACT00000007738,0.267,0.001,0.014
ENSGACT00000007740,-0.050,0.338,0.641
ENSGACT00000007744,-0.370,0.044,0.254
ENSGACT00000007746,-0.554,0.001,0.014
ENSGACT00000007749,0.287,0.001,0.014
ENSGACT00000007757,0.004,0.994,1.000
ENSGACT00000007761,-0.011,0.724,0.883
ENSGACT00000007762,-0.079,0.100,0.343
ENSGACT00000007763,-0.075,0.086,0.325
ENSGACT00000007764,-1.152,0.001,0.014
ENSGACT00000007765,-0.076,0.452,0.783
ENSGACT00000007768,-0.144,0.058,0.266
ENSGACT00000007770,0.106,0.108,0.465
ENSGACT00000007771,0.039,0.382,0.708
ENSGACT00000007774,0.406,0.001,0.014
ENSGACT00000007784,-0.066,0.430,0.783
ENSGACT00000007787,-0.556,0.001,0.014
ENSGACT00000007790,0.106,0.998,1.000
ENSGACT00000007796,0.067,0.816,1.000
ENSGACT00000007801,0.091,0.044,0.254
ENSGACT00000007810,-0.061,0.354,0.641
ENSGACT00000007815,0.017,0.624,0.816
ENSGACT00000007817,0.046,0.408,0.708
ENSGACT00000007821,0.219,0.324,0.641
ENSGACT00000007822,0.327,0.001,0.014
ENSGACT00000007823,0.445,0.006,0.068
ENSGACT00000007824,-0.835,0.001,0.014
ENSGACT00000007826,-0.780,0.001,0.014
ENSGACT00000007827,-0.028,1.000,1.000
ENSGACT00000007830,0.056,0.252,0.545
ENSGACT00000007831,-0.053,0.636,0.816
ENSGACT00000007833,0.423,0.001,0.014
ENSGACT00000007834,0.222,0.206,0.545
ENSGACT00000007840,-0.639,0.002,0.043
ENSGACT00000007841,-0.077,0.424,0.783
ENSGACT00000007842,-0.419,0.002,0.043
ENSGACT00000007845,-0.249,0.001,0.014
ENSGACT00000007848,0.086,0.256,0.545
ENSGACT00000007852,-0.124,0.001,0.014
ENSGACT00000007854,0.538,0.001,0.014
ENSGACT00000007858,0.211,0.002,0.043
ENSGACT00000007860,0.617,0.001,0.014
ENSGACT00000007863,0.313,0.001,0.014
ENSGACT00000007865,-0.078,0.908,1.000
ENSGACT00000007866,-0.408,0.001,0.014
ENSGACT00000007868,-0.325,0.001,0.014
ENSGACT00000007869,-0.051,0.530,0.816
ENSGACT00000007870,-0.085,0.170,0.511
ENSGACT00000007872,-0.021,0.860,1.000
ENSGACT00000007878,-0.288,0.002,0.043
ENSGACT00000007879,0.088,0.256,0.545
ENSGACT00000007882,0.049,0.540,0.816
ENSGACT00000007884,0.506,0.001,0.014
ENSGACT00000007888,0.095,0.362,0.641
ENSGACT00000007894,0.108,0.334,0.641
ENSGACT00000007895,0.340,0.002,0.043
ENSGACT00000007899,0.032,0.784,1.000
ENSGACT00000007901,0.254,0.001,0.014
ENSGACT00000007903,0.421,0.001,0.014
ENSGACT00000007904,-0.055,0.474,0.783
ENSGACT00000007906,-0.139,0.012,0.102
ENSGACT00000007910,0.086,0.001,0.014
ENSGACT00000007917,-0.224,0.002,0.043
ENSGACT00000007919,0.042,0.456,0.783
ENSGACT00000007921,0.414,0.001,0.014
ENSGACT00000007922,0.312,0.002,0.043
ENSGACT00000007923,-0.439,0.001,0.014
ENSGACT00000007928,-0.089,0.336,0.641
ENSGACT00000007933,0.315,0.004,0.068
ENSGACT00000007934,-0.134,0.001,0.014
ENSGACT00000007938,0.071,0.086,0.325
ENSGACT00000007941,-0.226,0.060,0.266
ENSGACT00000007950,0.313,0.006,0.068
ENSGACT00000007953,0.779,0.001,0.014
ENSGACT00000007955,-0.070,0.296,0.640
ENSGACT00000007958,-0.019,0.910,1.000
ENSGACT00000007961,0.831,0.001,0.014
ENSGACT00000007962,0.099,0.108,0.465
ENSGACT00000007971,-0.134,0.018,0.152
ENSGACT00000007973,0.101,0.030,0.183
ENSGACT00000007975,0.035,0.448,0.783
ENSGACT00000007977,0.114,0.070,0.309
ENSGACT00000007978,0.135,0.370,0.641
ENSGACT00000007982,0.038,0.548,0.816
ENSGACT00000007983,0.888,0.001,0.014
ENSGACT00000007984,-0.158,0.030,0.183
ENSGACT00000007988,-0.357,0.001,0.014
ENSGACT00000007994,-0.084,0.162,0.511
ENSGACT00000007996,-0.074,0.722,0.883
ENSGACT00000008001,-0.208,0.018,0.152
ENSGACT00000008006,0.200,0.001,0.014
ENSGACT00000008008,-0.112,0.080,0.325
ENSGACT00000008010,0.281,0.001,0.014
ENSGACT00000008011,0.157,0.001,0.014
ENSGACT00000008012,-0.109,0.258,0.545
ENSGACT00000008014,-0.598,0.001,0.014
ENSGACT00000008015,-0.012,0.974,1.000
ENSGACT00000008017,0.078,0.526,0.816
ENSGACT00000008018,-0.085,0.134,0.498
ENSGACT00000008020,-0.046,0.630,0.816
ENSGACT00000008023,-0.044,0.338,0.641
ENSGACT00000008026,-0.078,0.272,0.545
ENSGACT00000008030,-0.131,0.018,0.152
ENSGACT00000008032,-0.031,0.754,0.947
ENSGACT00000008035,0.132,0.044,0.254
ENSGACT00000008037,0.032,0.530,0.816
ENSGACT00000008038,0.426,0.001,0.014
ENSGACT00000008039,1.278,0.001,0.014
ENSGACT00000008042,-1.476,0.001,0.014
ENSGACT00000008048,-0.026,0.802,1.000
ENSGACT00000008049,-0.146,0.054,0.266
ENSGACT00000008050,0.107,0.188,0.537
ENSGACT00000008052,-0.031,0.932,1.000
ENSGACT00000008053,0.070,0.336,0.641
ENSGACT00000008055,0.223,0.016,0.122
ENSGACT00000008057,-0.857,0.001,0.014
ENSGACT00000008058,-0.062,0.164,0.511
ENSGACT00000008062,0.091,0.016,0.122
ENSGACT00000008065,-0.610,0.001,0.014
ENSGACT00000008066,-0.001,0.712,0.883
ENSGACT00000008068,0.155,0.050,0.254
ENSGACT00000008071,0.070,0.216,0.545
ENSGACT00000008077,0.000,0.632,0.816
ENSGACT00000008078,-0.092,0.248,0.545
ENSGACT00000008080,0.056,0.356,0.641
ENSGACT00000008082,-0.171,0.008,0.068
ENSGACT00000008083,0.285,0.001,0.014
ENSGACT00000008090,-0.145,0.076,0.325
ENSGACT00000008095,0.263,0.001,0.014
ENSGACT00000008096,-0.062,0.322,0.641
ENSGACT00000008105,-0.065,0.210,0.545
ENSGACT00000008108,-0.448,0.001,0.014
ENSGACT00000008109,0.306,0.001,0.014
ENSGACT00000008114,-0.602,0.001,0.014
ENSGACT00000008118,-0.066,0.482,0.783
ENSGACT00000008123,-0.087,0.128,0.465
ENSGACT00000008124,-0.024,0.888,1.000
ENSGACT00000008127,0.071,0.428,0.783
ENSGACT00000008134,0.083,0.314,0.641
ENSGACT00000008136,0.240,0.001,0.014
ENSGACT00000008137,0.020,0.370,0.641
ENSGACT00000008139,-0.331,0.018,0.152
ENSGACT00000008140,-0.224,0.082,0.325
ENSGACT00000008145,0.094,0.140,0.503
ENSGACT00000008146,0.031,0.722,0.883
ENSGACT00000008149,-0.135,0.096,0.343
ENSGACT00000008152,0.309,0.001,0.014
ENSGACT00000008153,-0.161,0.006,0.068
ENSGACT00000008155,-0.975,0.001,0.014
ENSGACT00000008157,-0.027,0.858,1.000
ENSGACT00000008162,0.132,0.004,0.068
ENSGACT00000008167,0.663,0.034,0.206
ENSGACT00000008168,0.032,0.442,0.783
ENSGACT00000008169,0.718,0.002,0.043
ENSGACT00000008170,-0.065,0.514,0.816
ENSGACT00000008173,-0.086,0.086,0.325
ENSGACT00000008174,0.084,0.120,0.465
ENSGACT00000008175,0.067,0.614,0.816
ENSGACT00000008179,0.452,0.001,0.014
ENSGACT00000008180,0.130,0.020,0.152
ENSGACT00000008181,0.362,0.001,0.014
ENSGACT00000008182,-0.104,0.064,0.266
ENSGACT00000008183,-0.203,0.002,0.043
ENSGACT00000008187,-0.372,0.001,0.014
ENSGACT00000008188,0.413,0.018,0.152
ENSGACT00000008189,-0.010,0.772,0.947
ENSGACT00000008191,0.276,0.002,0.043
ENSGACT00000008192,-0.043,0.628,0.816
ENSGACT00000008194,-0.019,0.912,1.000
ENSGACT00000008198,-0.292,0.001,0.014
ENSGACT00000008201,-0.148,0.008,0.068
ENSGACT00000008204,-0.045,0.590,0.816
ENSGACT00000008206,-0.020,0.950,1.000
ENSGACT00000008209,-0.061,0.192,0.545
ENSGACT00000008213,0.449,0.001,0.014
ENSGACT00000008215,0.055,0.296,0.640
ENSGACT00000008216,-0.682,0.001,0.014
ENSGACT00000008217,-0.061,0.264,0.545
ENSGACT00000008219,-0.803,0.001,0.014
ENSGACT00000008220,-0.049,0.240,0.545
ENSGACT00000008223,0.039,0.784,1.000
ENSGACT00000008224,0.226,0.001,0.014
ENSGACT00000008227,0.058,0.232,0.545
ENSGACT00000008230,-0.102,0.268,0.545
ENSGACT00000008233,-0.050,0.236,0.545
ENSGACT00000008239,-0.048,0.810,1.000
ENSGACT00000008242,0.034,0.384,0.708
ENSGACT00000008244,-0.822,0.001,0.014
ENSGACT00000008245,0.348,0.001,0.014
ENSGACT00000008250,0.136,0.112,0.465
ENSGACT00000008258,-0.015,0.552,0.816
ENSGACT00000008259,-0.428,0.001,0.014
ENSGACT00000008260,0.086,0.422,0.783
ENSGACT00000008262,-0.171,0.002,0.043
ENSGACT00000008263,0.162,0.062,0.266
ENSGACT00000008264,-0.063,0.758,0.947
ENSGACT00000008265,0.079,0.588,0.816
ENSGACT00000008266,0.007,0.944,1.000
ENSGACT00000008267,0.063,0.344,0.641
ENSGACT00000008268,0.076,0.442,0.783
ENSGACT00000008272,-0.109,0.024,0.161
ENSGACT00000008273,0.215,0.200,0.545
ENSGACT00000008274,-0.140,0.030,0.183
ENSGACT00000008275,0.060,0.956,1.000
ENSGACT00000008276,0.333,0.001,0.014
ENSGACT00000008277,0.040,0.606,0.816
ENSGACT00000008280,0.091,0.210,0.545
ENSGACT00000008282,-0.041,0.638,0.816
ENSGACT00000008284,0.178,0.508,0.816
ENSGACT00000008286,-0.841,0.001,0.014
ENSGACT00000008289,0.351,0.001,0.014
ENSGACT00000008302,0.672,0.001,0.014
ENSGACT00000008308,0.038,0.806,1.000
ENSGACT00000008309,0.149,0.330,0.641
ENSGACT00000008313,0.082,0.706,0.862
ENSGACT00000008314,-0.038,0.536,0.816
ENSGACT00000008315,0.142,0.002,0.043
ENSGACT00000008316,-0.797,0.001,0.014
ENSGACT00000008326,-0.423,0.001,0.014
ENSGACT00000008332,-0.002,0.896,1.000
ENSGACT00000008336,0.113,0.252,0.545
ENSGACT00000008341,0.146,0.024,0.161
ENSGACT00000008342,-0.041,0.508,0.816
ENSGACT00000008343,0.352,0.001,0.014
ENSGACT00000008344,0.026,0.930,1.000
ENSGACT00000008347,-0.433,0.001,0.014
ENSGACT00000008349,0.090,0.076,0.325
ENSGACT00000008353,0.078,0.292,0.640
ENSGACT00000008355,2.107,0.001,0.014
ENSGACT00000008356,-0.129,0.004,0.068
ENSGACT00000008357,-0.058,0.676,0.862
ENSGACT00000008360,0.070,0.318,0.641
ENSGACT00000008361,-0.139,0.074,0.320
ENSGACT00000008364,-0.150,0.030,0.183
ENSGACT00000008365,0.563,0.001,0.014
ENSGACT00000008366,-0.133,0.298,0.641
ENSGACT00000008367,0.046,0.908,1.000
ENSGACT00000008369,0.057,0.302,0.641
ENSGACT00000008375,-0.734,0.001,0.014
ENSGACT00000008381,0.339,0.001,0.014
ENSGACT00000008382,0.188,0.001,0.014
ENSGACT00000008385,0.537,0.001,0.014
ENSGACT00000008388,0.183,0.004,0.068
ENSGACT00000008391,0.235,0.001,0.014
ENSGACT00000008392,0.371,0.001,0.014
ENSGACT00000008393,0.041,0.486,0.783
ENSGACT00000008394,0.230,0.066,0.271
ENSGACT00000008402,0.170,0.054,0.266
ENSGACT00000008403,0.200,0.001,0.014
ENSGACT00000008407,-0.128,0.282,0.554
ENSGACT00000008408,0.036,0.416,0.783
ENSGACT00000008409,-0.043,0.940,1.000
ENSGACT00000008411,0.209,0.126,0.465
ENSGACT00000008412,-0.243,0.044,0.254
ENSGACT00000008415,0.087,0.290,0.640
ENSGACT00000008419,-0.069,0.194,0.545
ENSGACT00000008420,-0.063,0.258,0.545
ENSGACT00000008424,-0.133,0.074,0.320
ENSGACT00000008425,0.443,0.004,0.068
ENSGACT00000008426,-0.423,0.018,0.152
ENSGACT00000008428,0.029,0.428,0.783
ENSGACT00000008429,-0.025,0.550,0.816
ENSGACT00000008430,0.079,0.416,0.783
ENSGACT00000008432,0.133,0.116,0.465
ENSGACT00000008435,-0.958,0.001,0.014
ENSGACT00000008445,-0.085,0.278,0.554
ENSGACT00000008446,0.258,0.002,0.043
ENSGACT00000008448,0.379,0.001,0.014
ENSGACT00000008449,-0.352,0.001,0.014
ENSGACT00000008451,0.571,0.001,0.014
ENSGACT00000008452,-0.214,0.008,0.068
ENSGACT00000008456,0.248,0.006,0.068
ENSGACT00000008457,-0.202,0.062,0.266
ENSGACT00000008459,0.017,0.624,0.816
ENSGACT00000008467,-0.114,0.428,0.783
ENSGACT00000008469,0.015,0.724,0.883
ENSGACT00000008471,0.022,0.620,0.816
ENSGACT00000008478,0.045,0.376,0.708
ENSGACT00000008479,-0.071,0.366,0.641
ENSGACT00000008482,0.015,0.870,1.000
ENSGACT00000008484,-0.523,0.001,0.014
ENSGACT00000008486,0.383,0.001,0.014
ENSGACT00000008488,0.410,0.001,0.014
ENSGACT00000008491,0.077,0.134,0.498
ENSGACT00000008497,0.394,0.001,0.014
ENSGACT00000008500,0.126,0.004,0.068
ENSGACT00000008502,0.333,0.001,0.014
ENSGACT00000008504,0.141,0.476,0.783
ENSGACT00000008506,0.050,0.794,1.000
ENSGACT00000008507,-0.005,0.590,0.816
ENSGACT00000008510,0.568,0.001,0.014
ENSGACT00000008513,0.021,0.556,0.816
ENSGACT00000008514,-0.433,0.001,0.014
ENSGACT00000008523,-0.022,0.958,1.000
ENSGACT00000008524,0.103,0.138,0.503
ENSGACT00000008526,1.522,0.001,0.014
ENSGACT00000008531,0.162,0.001,0.014
ENSGACT00000008535,-0.070,0.216,0.545
ENSGACT00000008538,0.314,0.022,0.152
ENSGACT00000008542,-0.363,0.001,0.014
ENSGACT00000008544,0.036,0.670,0.862
ENSGACT00000008545,0.062,0.488,0.783
ENSGACT00000008546,0.034,0.556,0.816
ENSGACT00000008547,0.253,0.182,0.527
ENSGACT00000008549,0.137,0.136,0.503
ENSGACT00000008551,-0.102,0.126,0.465
ENSGACT00000008560,0.309,0.046,0.254
ENSGACT00000008561,0.012,0.950,1.000
ENSGACT00000008564,0.350,0.002,0.043
ENSGACT00000008565,0.083,0.002,0.043
ENSGACT00000008567,0.018,0.756,0.947
ENSGACT00000008570,0.011,0.698,0.862
ENSGACT00000008572,-0.025,0.972,1.000
ENSGACT00000008574,-0.122,0.046,0.254
ENSGACT00000008575,-0.212,0.084,0.325
ENSGACT00000008578,-0.011,0.720,0.883
ENSGACT00000008583,0.007,0.734,0.883
ENSGACT00000008588,-0.058,0.570,0.816
ENSGACT00000008592,-0.153,0.016,0.122
ENSGACT00000008595,0.100,0.010,0.097
ENSGACT00000008596,-0.156,0.218,0.545
ENSGACT00000008600,0.029,0.960,1.000
ENSGACT00000008601,0.035,0.996,1.000
ENSGACT00000008605,0.371,0.001,0.014
ENSGACT00000008606,-0.103,0.282,0.554
ENSGACT00000008607,0.886,0.001,0.014
ENSGACT00000008608,-0.085,0.486,0.783
ENSGACT00000008609,-0.028,0.680,0.862
ENSGACT00000008610,0.529,0.001,0.014
ENSGACT00000008612,0.463,0.006,0.068
ENSGACT00000008613,0.130,0.278,0.554
ENSGACT00000008615,0.180,0.001,0.014
ENSGACT00000008616,0.219,0.001,0.014
ENSGACT00000008621,0.099,0.026,0.161
ENSGACT00000008622,0.566,0.176,0.527
ENSGACT00000008623,0.009,0.910,1.000
ENSGACT00000008624,0.122,0.004,0.068
ENSGACT00000008629,0.157,0.066,0.271
ENSGACT00000008632,-0.777,0.001,0.014
ENSGACT00000008634,0.015,0.558,0.816
ENSGACT00000008638,-0.530,0.001,0.014
ENSGACT00000008641,-0.047,0.656,0.862
ENSGACT00000008645,-0.051,0.592,0.816
ENSGACT00000008648,0.168,0.001,0.014
ENSGACT00000008650,1.398,0.001,0.014
ENSGACT00000008653,-0.434,0.001,0.014
ENSGACT00000008658,0.475,0.001,0.014
ENSGACT00000008659,0.037,0.976,1.000
ENSGACT00000008660,-0.077,0.350,0.641
ENSGACT00000008665,-0.397,0.001,0.014
ENSGACT00000008668,0.226,0.004,0.068
ENSGACT00000008669,0.090,0.106,0.465
ENSGACT00000008672,0.096,0.184,0.527
ENSGACT00000008673,-0.222,0.012,0.102
ENSGACT00000008674,0.414,0.001,0.014
ENSGACT00000008675,-0.124,0.072,0.309
ENSGACT00000008678,-0.742,0.001,0.014
ENSGACT00000008682,-0.065,0.442,0.783
ENSGACT00000008685,-0.074,0.088,0.325
ENSGACT00000008687,-0.021,0.892,1.000
ENSGACT00000008691,0.494,0.001,0.014
ENSGACT00000008692,0.012,0.818,1.000
ENSGACT00000008694,0.058,0.272,0.545
ENSGACT00000008702,-0.290,0.001,0.014
ENSGACT00000008704,-0.076,0.216,0.545
ENSGACT00000008705,0.329,0.001,0.014
ENSGACT00000008706,-0.673,0.001,0.014
ENSGACT00000008707,-0.050,0.230,0.545
ENSGACT00000008714,-0.008,0.984,1.000
ENSGACT00000008715,-0.119,0.042,0.254
ENSGACT00000008723,-0.232,0.002,0.043
ENSGACT00000008726,0.111,0.648,0.862
ENSGACT00000008727,0.001,0.990,1.000
ENSGACT00000008738,0.404,0.001,0.014
ENSGACT00000008739,0.286,0.034,0.206
ENSGACT00000008742,-0.092,0.264,0.545
ENSGACT00000008746,0.282,0.001,0.014
ENSGACT00000008748,0.481,0.102,0.465
ENSGACT00000008754,0.224,0.001,0.014
ENSGACT00000008760,0.281,0.001,0.014
ENSGACT00000008761,0.127,0.056,0.266
ENSGACT00000008765,0.402,0.001,0.014
ENSGACT00000008766,-0.135,0.178,0.527
ENSGACT00000008767,0.249,0.024,0.161
ENSGACT00000008770,-0.219,0.001,0.014
ENSGACT00000008773,1.207,0.001,0.014
ENSGACT00000008779,0.010,0.646,0.862
ENSGACT00000008780,0.033,0.562,0.816
ENSGACT00000008788,0.407,0.002,0.043
ENSGACT00000008790,-0.118,0.018,0.152
ENSGACT00000008791,0.251,0.108,0.465
ENSGACT00000008795,0.178,0.001,0.014
ENSGACT00000008796,-0.006,0.754,0.947
ENSGACT00000008804,0.356,0.292,0.640
ENSGACT00000008805,-0.071,0.332,0.641
ENSGACT00000008809,0.278,0.054,0.266
ENSGACT00000008810,-0.232,0.006,0.068
ENSGACT00000008814,-0.062,0.326,0.641
ENSGACT00000008816,0.249,0.034,0.206
ENSGACT00000008818,0.137,0.218,0.545
ENSGACT00000008819,0.033,0.802,1.000
ENSGACT00000008821,0.100,0.240,0.545
ENSGACT00000008827,0.090,0.386,0.708
ENSGACT00000008834,0.249,0.224,0.545
ENSGACT00000008840,0.028,0.442,0.783
ENSGACT00000008845,0.034,0.940,1.000
ENSGACT00000008847,-0.086,0.248,0.545
ENSGACT00000008850,-0.205,0.022,0.152
ENSGACT00000008858,0.555,0.001,0.014
ENSGACT00000008859,0.329,0.008,0.073
ENSGACT00000008865,-0.741,0.001,0.014
ENSGACT00000008866,0.002,0.920,1.000
ENSGACT00000008870,0.691,0.001,0.014
ENSGACT00000008875,-0.067,0.128,0.465
ENSGACT00000008876,0.238,0.016,0.122
ENSGACT00000008881,0.016,0.986,1.000
ENSGACT00000008882,-0.669,0.001,0.014
ENSGACT00000008883,-0.112,0.008,0.068
ENSGACT00000008886,1.742,0.001,0.014
ENSGACT00000008887,-0.182,0.010,0.097
ENSGACT00000008888,0.362,0.002,0.043
ENSGACT00000008890,-0.001,0.568,0.816
ENSGACT00000008892,0.077,0.510,0.816
ENSGACT00000008893,-0.086,0.748,0.947
ENSGACT00000008894,-0.533,0.001,0.014
ENSGACT00000008895,-0.275,0.044,0.254
ENSGACT00000008899,0.020,0.780,1.000
ENSGACT00000008901,0.149,0.006,0.068
ENSGACT00000008904,-0.673,0.002,0.043
ENSGACT00000008906,0.369,0.001,0.014
ENSGACT00000008909,-0.001,0.894,1.000
ENSGACT00000008914,0.208,0.002,0.043
ENSGACT00000008916,0.344,0.412,0.783
ENSGACT00000008918,0.000,0.796,1.000
ENSGACT00000008922,-0.031,0.420,0.783
ENSGACT00000008923,0.767,0.001,0.014
ENSGACT00000008933,-0.087,0.380,0.708
ENSGACT00000008935,-1.224,0.001,0.014
ENSGACT00000008937,0.137,0.092,0.343
ENSGACT00000008941,0.056,0.256,0.545
ENSGACT00000008943,0.020,0.646,0.862
ENSGACT00000008944,0.015,0.984,1.000
ENSGACT00000008946,-0.033,0.698,0.862
ENSGACT00000008947,-0.130,0.142,0.503
ENSGACT00000008949,0.285,0.001,0.014
ENSGACT00000008951,0.570,0.001,0.014
ENSGACT00000008952,-0.076,0.432,0.783
ENSGACT00000008955,0.165,0.006,0.068
ENSGACT00000008956,-0.569,0.010,0.097
ENSGACT00000008959,-0.696,0.001,0.014
ENSGACT00000008960,0.011,0.662,0.862
ENSGACT00000008961,0.012,0.860,1.000
ENSGACT00000008963,0.053,0.566,0.816
ENSGACT00000008964,0.038,0.338,0.641
ENSGACT00000008965,-0.008,0.700,0.862
ENSGACT00000008969,-0.015,0.966,1.000
ENSGACT00000008977,0.174,0.144,0.503
ENSGACT00000008979,0.337,0.001,0.014
ENSGACT00000008982,-0.150,0.344,0.641
ENSGACT00000008987,0.118,0.004,0.068
ENSGACT00000008988,0.323,0.002,0.043
ENSGACT00000008994,0.054,0.692,0.862
ENSGACT00000008998,0.359,0.001,0.014
ENSGACT00000009000,0.366,0.072,0.320
ENSGACT00000009001,0.075,0.194,0.545
ENSGACT00000009006,0.062,0.282,0.554
ENSGACT00000009019,-0.850,0.001,0.014
ENSGACT00000009020,0.288,0.024,0.161
ENSGACT00000009024,-0.333,0.001,0.014
ENSGACT00000009025,0.038,0.762,0.947
ENSGACT00000009028,-0.064,0.350,0.641
ENSGACT00000009031,-0.230,0.006,0.068
ENSGACT00000009032,0.209,0.004,0.068
ENSGACT00000009033,-1.059,0.001,0.014
ENSGACT00000009034,-0.085,0.166,0.511
ENSGACT00000009036,0.414,0.001,0.014
ENSGACT00000009038,-0.197,0.001,0.014
ENSGACT00000009040,0.727,0.154,0.511
ENSGACT00000009042,0.148,0.001,0.014
ENSGACT00000009048,0.425,0.001,0.014
ENSGACT00000009049,-0.854,0.001,0.014
ENSGACT00000009051,0.003,0.738,0.947
ENSGACT00000009052,-0.362,0.076,0.325
ENSGACT00000009054,-0.087,0.012,0.102
ENSGACT00000009055,0.142,0.304,0.641
ENSGACT00000009057,0.142,0.040,0.254
ENSGACT00000009058,-0.007,0.542,0.816
ENSGACT00000009060,0.001,0.816,1.000
ENSGACT00000009063,-0.073,0.162,0.511
ENSGACT00000009064,-0.040,0.592,0.816
ENSGACT00000009067,0.452,0.001,0.014
ENSGACT00000009069,-0.202,0.006,0.068
ENSGACT00000009073,-0.424,0.001,0.014
ENSGACT00000009076,0.178,0.020,0.152
ENSGACT00000009078,0.531,0.001,0.014
ENSGACT00000009079,-0.185,0.022,0.152
ENSGACT00000009083,0.654,0.001,0.014
ENSGACT00000009087,-0.107,0.426,0.783
